text,label,true_label,true_label_mapped,predicted_label
$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS,0,bearish,negative,neutral
$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct,0,bearish,negative,negative
2U downgraded to sector weight from overweight at KeyBanc Capital,0,bearish,negative,negative
Alphabet and Facebook price targets cut at Barclays on weaker ad outlook https://t.co/PlbSaE1Nc2,0,bearish,negative,negative
AMC Networks price target cut to $35 from $39 at Imperial Capital,0,bearish,negative,negative
American Software downgraded to neutral from buy at B. Riley FBR,0,bearish,negative,neutral
Analysts question Silicon Motion's margin outlook,0,bearish,negative,negative
Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,0,bearish,negative,negative
Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,0,bearish,negative,negative
AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company,0,bearish,negative,negative
AT&T shares sink after MoffettNathanson downgrade,0,bearish,negative,negative
"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling",0,bearish,negative,negative
Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,0,bearish,negative,negative
Autodesk downgraded to underweight from neutral at JPMorgan,0,bearish,negative,negative
BAML warns of profit pressure for Hormel,0,bearish,negative,negative
Barclays cools on Molson Coors,0,bearish,negative,neutral
Becton Dickinson downgraded to outperform from strong buy at Raymond James,0,bearish,negative,negative
Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,0,bearish,negative,negative
Berry Petroleum downgraded to market perform from outperform at BMO Capital,0,bearish,negative,negative
Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,0,bearish,negative,negative
Bluebird bio downgraded to in line from outperform at Evercore ISI,0,bearish,negative,negative
Bluebird bio stock price target cut to $86 from $172 at Evercore ISI,0,bearish,negative,negative
Canada Goose downgraded to buy from strong buy at CFRA,0,bearish,negative,negative
Canada Goose stock price target cut to $50 from $65 at CFRA,0,bearish,negative,negative
Children's Place downgraded as e-commerce puts margins at risk,0,bearish,negative,negative
Children's Place price target cut to $80 from $105 at Monness Crespi Hardt,0,bearish,negative,negative
Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know,0,bearish,negative,negative
Clovis Oncology stock price target cut to $8 from $12 at Evercore ISI,0,bearish,negative,negative
Cumberland Pharmaceuticals stock price target cut to $9.00 from $12.25 at B. Riley FBR,0,bearish,negative,negative
"Dell, HPE targets trimmed on compute headwinds",0,bearish,negative,negative
Dish may not be key winner amid Intelsat woes - analyst,0,bearish,negative,neutral
Disney downgraded as analyst says parks attendance could take 2 years to 'normalize' https://t.co/InJKourtW3,0,bearish,negative,negative
Downgrades 11/25: $AEO $COLM $DGII $EQT $ESS $EVRG $GTT $KRG $MANT $MDCO $NFLX $OMP $PEG $PRU $SBT $SITC $TAP $VIPS,0,bearish,negative,neutral
Downgrades 4/7: $MLND $MSGN $MTLS $O $OC $OVV $PEB $PK $PLYA $QEP $RHP $RPAI $SAIA $SDC $SHOP $SKY $SLG $SM $TWLO… https://t.co/NGkYTADOSt,0,bearish,negative,negative
Dropbox on watch after stinging Spruce Point report,0,bearish,negative,neutral
"Earnings Update: electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts",0,bearish,negative,negative
Evercore downgrades bluebird bio and Clovis in premarket analyst action,0,bearish,negative,negative
"Fannie Mae, Freddie Mac downgraded to sell, as analyst cites 'unintended consequences' of CARES Act https://t.co/NhiYwphBQd",0,bearish,negative,negative
Forescout downgraded to neutral from buy at Monness Crespi Hardt,0,bearish,negative,neutral
FormFactor cut on 'unsustainable' revenue outlook,0,bearish,negative,negative
Funko downgraded to hold from buy at Stifel Nicolaus,0,bearish,negative,neutral
Funko stock price target cut to $10 from $25 at Stifel Nicolaus,0,bearish,negative,negative
GM stock price target cut to $30 from $32 at Deutsche Bank,0,bearish,negative,negative
Grubhub gains a bear on margin view,0,bearish,negative,positive
H&P downgraded at Argus as drilling industry weakness seen persisting,0,bearish,negative,negative
Hanesbrands stock price target cut to $13 vs. $16 at BofA Merrill Lynch,0,bearish,negative,negative
Helmerich & Payne started at sell with $34 stock price target at Deutsche Bank,0,bearish,negative,neutral
Hexo stock price target cut to C$5 from C$6 at MKM Partners,0,bearish,negative,negative
Home Depot stock price target cut to $237 from $240 at Instinet,0,bearish,negative,negative
Intelsat downgraded to underweight from neutral at J.P. Morgan,0,bearish,negative,negative
Intelsat lower after Morgan Stanley target cut,0,bearish,negative,negative
Jefferies warns on L Brands,0,bearish,negative,negative
Kohl's stock price target cut to $48 from $52 at Deutsche Bank,0,bearish,negative,negative
Kohl's stock price target cut to $50 from $53 at Wedbush,0,bearish,negative,negative
L Brands stock price target cut to $16 from $20 at Wedbush,0,bearish,negative,negative
Lovesac stock price target cut to $28 vs. $33 at Canaccord,0,bearish,negative,negative
Lyft stock price target cut to $58 from $70 at Deutsche Bank,0,bearish,negative,negative
Macerich downgraded to underweight from sector weight at KeyBanc Capital,0,bearish,negative,negative
Marinus Pharma stock price target cut to $6 from $7 at Leerink,0,bearish,negative,negative
Methanex downgraded at TD Securities on valuation,0,bearish,negative,neutral
Metro Inc. Just Missed Earnings And Its EPS Looked Sad - But Analysts Have Updated Their Models,0,bearish,negative,negative
Mid-America Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital,0,bearish,negative,negative
Mitek Systems stock price target cut to $11 from $14 at Benchmark,0,bearish,negative,negative
Napco Security stock price target cut to $30 from $35 at Imperial Capital,0,bearish,negative,negative
Needham's Martin Defends Her Prediction That Netflix Subscriptions Will Fall,0,bearish,negative,positive
Netflix downgraded to ‘underperform’ at Needham,0,bearish,negative,negative
Netflix stock falls after Wells Fargo turns bearish,0,bearish,negative,negative
New Netflix bear steps out,0,bearish,negative,neutral
"New York Opioid Case A Significant Risk For Pharma Stocks, Says Bearish BofA",0,bearish,negative,negative
Norwegian Cruise Line downgraded to strong sell from hold at CFRA,0,bearish,negative,negative
Novo Nordisk downgraded by UBS on concerns over drug launch cost,0,bearish,negative,negative
Oppenheimer cuts estimates on Yum China,0,bearish,negative,negative
Orbcomm price target lowered to $9 at Canaccord,0,bearish,negative,negative
O'Reilly Automotive stock price target cut to $405 from $415 at J.P. Morgan,0,bearish,negative,negative
Patterson-UTI Energy started at sell with $7 stock price target at Deutsche Bank,0,bearish,negative,neutral
PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital,0,bearish,negative,negative
Rio Tinto downgraded to neutral from overweight at J.P. Morgan,0,bearish,negative,positive
"Rosenblatt Projects 47% Downside In Apple Shares, Warns Of Drop In iPhone Production",0,bearish,negative,negative
Royal Caribbean downgraded to sell from buy at CFRA,0,bearish,negative,neutral
Royal Caribbean stock price target cut to $100 from $135 at CFRA,0,bearish,negative,positive
Royal Caribbean's stock falls after CFRA swings to bearish on 'more dire' coronavirus assessment,0,bearish,negative,negative
Scandinavian Tobacco Group A/S Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now,0,bearish,negative,negative
Sherwin-Williams cut from Conviction Buy at Goldman on valuation,0,bearish,negative,neutral
Sirius downgraded on valuation,0,bearish,negative,neutral
Spotify Double Downgrade Reflects Prospect of Slower Revenue Growth https://t.co/jMJ3N4A06T,0,bearish,negative,negative
SunTrust latest to trim Nielsen target,0,bearish,negative,positive
Taco Bell parent Yum Brands downgraded to neutral from buy at BTIG,0,bearish,negative,neutral
Take-Two downgraded on murky game slate,0,bearish,negative,negative
Take-Two Interactive stock price target cut to $124 from $133 at MKM Partners,0,bearish,negative,negative
Target Hospitality downgraded to perform from outperform at Oppenheimer,0,bearish,negative,negative
Taubman Centers downgraded to sector weight from overweight at KeyBanc Capital,0,bearish,negative,negative
"The Manitowoc Company, Inc. Just Reported Earnings, And Analysts Cut Their Target Price",0,bearish,negative,negative
Transocean started at sell with $3 stock price target at Deutsche Bank,0,bearish,negative,neutral
Ultra Clean downgraded to hold from buy at Stifel Nicolaus,0,bearish,negative,neutral
Wells Fargo Downgrades Netflix $NFLX to Underperform but sees as a takeover target. NFLX could get acquired: NFLX i… https://t.co/vuNpYwRDSg,0,bearish,negative,neutral
Wells Fargo Downgrades Netflix On Spending Concerns,0,bearish,negative,negative
"Wells Fargo downgrades Netflix: 'If content is king, then cash is queen' https://t.co/niUwYR5YUD",0,bearish,negative,negative
Welltower stock price target cut to $90 from $95 at J.P. Morgan,0,bearish,negative,negative
WWE stock price target cut to $57 from $79 at Benchmark,0,bearish,negative,negative
$ALTG: Dougherty & Company starts at Buy,1,bullish,positive,neutral
$AMD - AMD's Navi shows strong adoption - BofA https://t.co/WnCksfl1gX,1,bullish,positive,positive
$ANCUF: BMO Capital Markets ups to Outperform,1,bullish,positive,positive
$BHE: Lake Street starts at Buy,1,bullish,positive,neutral
$CNC *S&P Raises Centene Corp. Rtg To BBB- From BB+; Outlk Stable*,1,bullish,positive,positive
$DE - Citi gives big boost to Deere PT https://t.co/MfhnyZe593,1,bullish,positive,positive
$EBAY - Guggenheim sees favorable catalysts for eBay https://t.co/1adfDkHeaw,1,bullish,positive,positive
$FCX - Freeport upgraded as Credit Suisse sees big buying opportunity https://t.co/d4TGqrNi7Y,1,bullish,positive,positive
$FLXN: BTIG Research starts at Buy https://t.co/MCyfTsXc2N,1,bullish,positive,neutral
"$FNV - Franco-Nevada will not need more funding despite suspensions, analyst says https://t.co/pyARTEahWH",1,bullish,positive,neutral
$GBT: Cantor Fitzgerald resumes at Overweight,1,bullish,positive,neutral
$GM - Morgan Stanley sees GM doubling in bull case scenario https://t.co/uNK2xzGQuq,1,bullish,positive,negative
$GOOS: Barclays starts at Overweight,1,bullish,positive,neutral
$HAS - Hasbro gains after UBS upgrade https://t.co/taTMaip1uM,1,bullish,positive,positive
"$JD - New https://t.co/BDnqOJSFq5 bull praises acceleration, margin profile https://t.co/Swtzl0mjnF",1,bullish,positive,neutral
$JD: Barclays ups to Overweight,1,bullish,positive,positive
$KHC - JPMorgan constructive on Kraft Heinz https://t.co/Sp4I2ehAVw,1,bullish,positive,neutral
$KIM: Compass Point ups to Neutral,1,bullish,positive,positive
$LOW - Lowe's racks up another positive rating despite recession risk https://t.co/ekx4f6aqIK,1,bullish,positive,positive
$LRCX - Lam target boosted on 'compelling' setup https://t.co/TBgKmZH6pM,1,bullish,positive,positive
$LULU: Barclays starts at Overweight https://t.co/MCyfTsXc2N,1,bullish,positive,neutral
"$MU $WDC - Bull sees 2020 upsides for MU, WDC https://t.co/65zGfs82xI",1,bullish,positive,neutral
$NBY Rated buy https://t.co/xWbLXU1yOY,1,bullish,positive,neutral
$NFLX - SunTrust expecting Netflix to post strong user growth https://t.co/6z62FXsUom,1,bullish,positive,positive
$NVDA - Nvidia set for gaming tailwinds - BofA https://t.co/l3m78pJzrW,1,bullish,positive,neutral
$OCN - BTIG sees 'material improvement' to Ocwen book value https://t.co/8MMo05uiM6,1,bullish,positive,positive
$OYST: Cowen starts at Outperform,1,bullish,positive,positive
$RAPT: BMO Capital Markets starts at Outperform,1,bullish,positive,positive
$RNG - Evercore starts RingCentral at Outperform https://t.co/rfNcO3sw2k,1,bullish,positive,positive
$SBAC $SBAC $AMT - MoffettNathanson boosts SBAC to Buy https://t.co/8k4l0c5x89,1,bullish,positive,positive
$SNAP - Loop turns bullish on Snap ad growth https://t.co/TekdZS48et,1,bullish,positive,positive
$STXS: Lake Street starts at Buy,1,bullish,positive,neutral
$TENB - Cowen sees upside in TENB's Indegy purchase https://t.co/Ve7bTreR7Y,1,bullish,positive,negative
"$UBER $LYFT - Uber, Lyft can raise prices to profit - Barclays https://t.co/1xx084l36h",1,bullish,positive,neutral
$WABC: Maxim Group ups to Buy,1,bullish,positive,neutral
$WRI: Compass Point ups to Buy,1,bullish,positive,neutral
$ZS - New Zscaler bull sees 'sustainable' growth; shares +4% https://t.co/4fx811IVG5,1,bullish,positive,positive
"Activision, Take-Two charts look 'constructive' as Wells Fargo gets bullish on video game plays: Trader $ATVI $TTWO… https://t.co/1s0WRleA2n",1,bullish,positive,positive
Adobe stock price target raised to $315 vs. $290 at Wedbush,1,bullish,positive,positive
Adobe stock price target raised to $318 vs. $310 at Instinet,1,bullish,positive,positive
Aegis Capital positive on Netflix usage trend,1,bullish,positive,positive
"After a 60% drop in 6 months, Bank of America says buy pot stock Canopy",1,bullish,positive,negative
Akero Therapeutics started at buy with $36 stock price target at Canaccord Genuity,1,bullish,positive,neutral
Align Technology stock price target raised to $305 from $290 at Stifel Nicolaus,1,bullish,positive,positive
Allergan upgraded to buy from neutral at UBS,1,bullish,positive,positive
Altria stock price target raised to $54 from $50 at Stifel Nicolaus,1,bullish,positive,positive
Amneal Pharma price target raised to $6 vs. $4 at SunTrust Robinson Humphrey,1,bullish,positive,positive
"An analyst at Loop Capital upgrades $LYFT  to buy from hold, citing higher revenue growth potential.  https://t.co/2blCalNe9P",1,bullish,positive,positive
Analyst: AT&T Is The Top Telecom Pick For 2020,1,bullish,positive,neutral
Analysts Mostly Bullish On Newly Public Insurance Firm BRP Group,1,bullish,positive,positive
Analysts See 18% Gains Ahead For The Holdings Of The First Trust Dow Jones Internet Index Fund ETF,1,bullish,positive,positive
Ansys stock price target raised to $265 from $235 at Benchmark,1,bullish,positive,positive
Anthem stock price target raised to $330 from $300 at SunTrust RH,1,bullish,positive,positive
Applied Industrial Technologies stock price target raised to $70 from $65 at KeyBanc Capital,1,bullish,positive,positive
arGen-X stock price target raised to $255 vs. $203 at Instinet,1,bullish,positive,positive
Armata Pharmaceuticals started at buy with $8 stock price target at Maxim Group,1,bullish,positive,neutral
Arrow Electronics stock price target raised to $87 vs. $84 at SunTrust Robinson Humphrey,1,bullish,positive,positive
"Asset Management One Co. has a bullish call on Treasuries. One for the long, long run https://t.co/8go8ZhMvdc",1,bullish,positive,neutral
Audentes Therapeutics stock price target raised to $40 from $34 at Evercore ISI,1,bullish,positive,positive
Audentes Therapeutics upgraded to outperform from in line at Evercore ISI,1,bullish,positive,positive
Axcelis Technologies stock price target raised to $32 from $24 at Benchmark,1,bullish,positive,positive
Baird bullish on beat-up Canada Goose,1,bullish,positive,neutral
Baird likes drug wholesalers in premarket analyst action,1,bullish,positive,neutral
Baird returns to Wingstop bull camp,1,bullish,positive,neutral
Baker Hughes started at buy with $32 stock price target at Deutsche Bank,1,bullish,positive,neutral
Bank of America stock price target raised to $49 from $48 at Oppenheimer,1,bullish,positive,positive
Barclays analysts says Uber and Lyft are well-positioned to achieve profitability https://t.co/emLga0CBm1,1,bullish,positive,positive
"Bausch Health upgraded to overweight from neutral at JPMorgan, price target raised to $38 from $32",1,bullish,positive,positive
Bed Bath & Beyond reiterated as buy at BofA Merrill Lynch,1,bullish,positive,neutral
Belden stock price target raised to $56 vs. $54 at SunTrust Robinson Humphrey,1,bullish,positive,positive
Benchmark says this roof supplier is a Buy,1,bullish,positive,neutral
Bernstein turns bullish on VMware's valuation,1,bullish,positive,negative
Berry Petroleum upgraded to sector weight from underweight at KeyBanc Capital,1,bullish,positive,positive
Best Buy stock price target raised to $105 from $86 at Oppenheimer,1,bullish,positive,positive
Biogen stock price target raised to $392 from $320 at Instinet,1,bullish,positive,positive
Biogen stock price target raised to $410 from $350 at SVB Leerink,1,bullish,positive,positive
Boeing stock price target raised to $427 from $406 at CFRA,1,bullish,positive,positive
"BofA Upgrades WestRock After Containerboard Conference, London Pulp Week",1,bullish,positive,neutral
"Bouygues SA Just Beat Analyst Forecasts, And Analysts Have Been Updating Their Predictions",1,bullish,positive,positive
BTIG expects Domino's to boost buybacks,1,bullish,positive,positive
BTIG sees 'material improvement' to Ocwen book value,1,bullish,positive,positive
"Bull sees 2020 upsides for MU, WDC",1,bullish,positive,neutral
Cabot upgraded to buy from neutral at UBS,1,bullish,positive,positive
"Canada Goose upgraded to outperform from neutral at Baird, price target C$53",1,bullish,positive,positive
Capital Southwest initiated at outperform at Raymond James with $23.50 price target,1,bullish,positive,positive
Celanese stock price target raised to $120 vs. $111 at BofA Merrill Lynch,1,bullish,positive,positive
CF Industries stock price target raised to $56 vs. $52 at BofA Merrill Lynch,1,bullish,positive,positive
CF Industries upgraded to buy vs. neutral at BofA Merrill Lynch,1,bullish,positive,positive
Ciena stock price target raised to $47 vs. $43 at Instinet,1,bullish,positive,positive
Citi gives big boost to Deere PT,1,bullish,positive,positive
Citi reels in PT on Nu Skin,1,bullish,positive,neutral
"CITRON SAYS IT'S LONG ON LUCKIN COFFEE

MW vs CItron",1,bullish,positive,positive
CNH Industrial upped to Buy at Deutsche Bank on valuation,1,bullish,positive,positive
Copa Holdings stock price target raised to $130 from $103 at Deutsche Bank,1,bullish,positive,positive
Costco price target raised to $330 vs. $320 at BofA Merrill Lynch,1,bullish,positive,positive
CSX stock price target raised to $90 from $72 at Deutsche Bank,1,bullish,positive,positive
CSX upgraded to buy from hold at Deutsche Bank,1,bullish,positive,positive
CVS Health stock price target raised to $90 from $85 at SunTrust RH,1,bullish,positive,positive
CyrusOne upgraded to overweight from sector weight at KeyBanc Capital,1,bullish,positive,positive
Diamondrock Hospitality upgraded to sector weight from underweight at KeyBanc Capital,1,bullish,positive,positive
DLH Holdings maintained as buy with $7 price target at Canaccord,1,bullish,positive,neutral
Domtar upgraded to market perform at BMO Capital,1,bullish,positive,positive
Dow stock price target raised to $52 vs. $46 at BofA Merrill Lynch,1,bullish,positive,positive
"Earnings Update: Here's Why Analysts Just Lifted Their Aemetis, Inc. Price Target To US$2.25",1,bullish,positive,positive
Earnings Update: Here's Why Analysts Just Lifted Their Milestone Scientific Inc. Price Target To US$2.00,1,bullish,positive,neutral
"Earnings Update: Here's Why Analysts Just Lifted Their Skyworks Solutions, Inc. Price Target To US$104",1,bullish,positive,positive
Eastman Chemical stock price target raised to $85 vs. $82 at BofA Merrill Lynch,1,bullish,positive,positive
Edgewell stock price target raised to $41 from $33 at CFRA,1,bullish,positive,positive
Elastic upgraded to buy from hold at Canaccord Genuity,1,bullish,positive,neutral
"Enbridge upgraded to buy from neutral at UBS, price target lifted to C$54 from C$50",1,bullish,positive,positive
"Energizer Holdings upgraded to neutral from underweight at JP Morgan, price target lifted to $51 from $41",1,bullish,positive,positive
Energizer shakes off JPMorgan's bear call,1,bullish,positive,negative
Equity Lifestyle Properties upgraded to outperform at BMO Capital,1,bullish,positive,positive
Estee Lauder stock price target raised to $238 from $202 at Raymond James,1,bullish,positive,positive
Etsy initiated as buy with $55 price target at SunTrust Robinson Humphrey,1,bullish,positive,neutral
FedEx stock price target raised to $168 from $163 at BofA Securities,1,bullish,positive,positive
FleetCor stock price target raised to $325 from $310 at CFRA,1,bullish,positive,positive
Ford's electric SUV impresses Credit Suisse,1,bullish,positive,positive
Fortinet stock price target raised to $115 from $104 at BMO Capital,1,bullish,positive,positive
Fortinet stock price target raised to $120 from $110 at Monness Crespi Hardt,1,bullish,positive,positive
"Glenmark Pharmaceuticals Limited Just Beat Analyst Forecasts, And Analysts Have Been Updating Their Predictions",1,bullish,positive,positive
Goldman adds Workday to conviction list; shares +1%,1,bullish,positive,neutral
"Goldman Says 36,000% Rally in Brazilian Retailer Has Room to Run",1,bullish,positive,positive
GrubHub stock price target raised to $40 from $34 at Oppenheimer,1,bullish,positive,positive
GrubHub stock price target raised to $60 from $30 at Susquehanna,1,bullish,positive,positive
Hasbro upgraded on earnings growth potential from Entertainment One acquisition,1,bullish,positive,positive
"Hasbro upgraded to buy from neutral at UBS, price target $117",1,bullish,positive,positive
Heat Biologics started at buy with $1 stock price target at Maxim Group,1,bullish,positive,neutral
"Home Depot upgraded to outperform from neutral at Credit Suisse, price target raised to $235 from $225",1,bullish,positive,positive
Humana stock price target raised to $363 from $319 at Deutsche Bank,1,bullish,positive,positive
Huntsman named Conviction Buy at Goldman in chemical sector shuffle,1,bullish,positive,neutral
Intel stock price target raised to $62 vs. $60 at SunTrust Robinson Humphrey,1,bullish,positive,positive
Intercept Pharmaceuticals maintained as buy with $165 price target at Canaccord,1,bullish,positive,neutral
Invitae Corp. maintained as buy at Benchmark,1,bullish,positive,neutral
J.C. Penney stock price target raised to $1.00 from 80 cents at B. Riley FBR,1,bullish,positive,positive
Jabil stock price target raised to $47 from $36 at CFRA,1,bullish,positive,positive
Jefferies analysts lifted Tesla $TSLA shares to buy while paring the price target 19%. https://t.co/BJhXfQuRTd,1,bullish,positive,neutral
JPMorgan likes Bausch Health in premarket analyst action,1,bullish,positive,neutral
JPMorgan out bullish on Uber's upside potential,1,bullish,positive,negative
Kilroy Realty upgraded to overweight from sector weight at KeyBanc Capital,1,bullish,positive,positive
L3Harris started at buy with $280 stock price target at Benchmark,1,bullish,positive,neutral
Lagging MLP upgraded at Goldman as new projects seen lifting cash flows,1,bullish,positive,positive
Ligand Pharmaceuticals started at buy with $135 stock price target at Benchmark,1,bullish,positive,neutral
Lovesac maintained as buy at Canaccord,1,bullish,positive,neutral
Lululemon stock price target raised to $260 vs. $222 at Susquehanna,1,bullish,positive,positive
Lyft stock gets an upgrade due to competitive positioning,1,bullish,positive,positive
LyondellBasell sock price target raised to $107 vs. $99 at BofA Merrill Lynch,1,bullish,positive,positive
Magnolia Oil & Gas started at overweight with $14 stock price target at KeyBanc Capital,1,bullish,positive,neutral
Mesa Air reiterated as outperform at Cowen,1,bullish,positive,positive
Microchip Technology stock price target raised to $113 vs. $106 at SunTrust Robinson Humphrey,1,bullish,positive,positive
Mizuho raises Intel on aggressive price cuts,1,bullish,positive,negative
Molina Healthcare stock price target raised to $165 from $155 at SunTrust RH,1,bullish,positive,positive
Morgan Stanley analyst Joseph Moore upgraded NVIDIA (NASDAQ: $NVDA) from Equalweight to Overweight with a price tar… https://t.co/NVjiO6Brwb,1,bullish,positive,positive
Morgan Stanley bullish on Eldorado Resorts ahead of Caesars combination,1,bullish,positive,neutral
Morgan Stanley joins mortgage sector bulls,1,bullish,positive,neutral
Morgan Stanley Raises Fortinet's Price Target After Bullish Analyst Day,1,bullish,positive,positive
Morgan Stanley upgrades NVIDIA $NVDA from Equal-Weight to Overweight and announces $259 price target.,1,bullish,positive,positive
"Morgan Stanley upgrades Nvidia to buy, predicting 2020 will be 'a return to solid growth' https://t.co/9gTGxKbSGj",1,bullish,positive,positive
"Munster Doubles Down, Says Apple Has 40% Upside This Year",1,bullish,positive,negative
New bull sees 22% upside for Splunk,1,bullish,positive,positive
New for subscribers:  Morgan Stanley adds Amazon to its list of favorite stocks. Here are the rest... https://t.co/QbgS6IQXRt,1,bullish,positive,neutral
Newmont Goldcorp stock price target raised to $41.50 from $39.50 at B. Riley FBR,1,bullish,positive,positive
NLight target raised on Nutronics deal,1,bullish,positive,positive
Nokia stock price target raised to $6.00 from $5.50 at MKM Partners,1,bullish,positive,positive
Nuvasive upgraded to outperform vs market perform at Leerink,1,bullish,positive,positive
"Nvidia Has One Of The Best Opportunities To Maintain High Multiple, Morgan Stanley Says In Upgrade",1,bullish,positive,positive
Nvidia stock climbs after Morgan Stanley turns bullish,1,bullish,positive,positive
NXP Semiconductors stock price target raised to $139 vs. $128 at SunTrust Robinson Humphrey,1,bullish,positive,positive
Olin Corp. stock price target raised to $23 vs. $22 at BofA Merrill Lynch,1,bullish,positive,positive
"One analyst says TD could unlock ""significant value"" by selling its minority stake in Ameritrade after its purchase… https://t.co/swy7IVNnQE",1,bullish,positive,neutral
Onto Innovation stock price target raised to $50 from $40 at Benchmark,1,bullish,positive,positive
Owens Corning upgraded at Wells after raising residential insulation prices,1,bullish,positive,positive
"Owens Corning Upgraded On Strong Insulation, Roofing Potential",1,bullish,positive,positive
Oyster Point Pharma initiated at overweight with $26 price target at JP Morgan,1,bullish,positive,neutral
"Paul Tudor Jones Sees the Potential for a Stock Market Explosion, to the Upside",1,bullish,positive,neutral
PennMac Financial rises to record as Piper gets more bullish,1,bullish,positive,positive
Piper likes DexCom in premarket analyst action,1,bullish,positive,neutral
"Pixelworks, Inc. Just Reported And Analysts Have Been Lifting Their Price Targets",1,bullish,positive,negative
PPG Industries stock price target raised to $113 vs. $105 at BofA Merrill Lynch,1,bullish,positive,positive
Prothena upgraded to outperform from in line at Evercore ISI,1,bullish,positive,positive
Purple Innovation initiated at overweight with $12 price target at KeyBanc Capital,1,bullish,positive,neutral
Quanterix maintained as outperform with $35 price target at Leerink,1,bullish,positive,positive
Results: KLA Corporation Beat Earnings Expectations And Analysts Now Have New Forecasts,1,bullish,positive,positive
RPM International stock price target raised to $79 vs. $75 at BofA Merrill Lynch,1,bullish,positive,positive
S&P Global stock price target raised to $322 from $274 at Stifel Nicolaus,1,bullish,positive,positive
Sanderson Farms stock price target raised to $159 from $150 at J.P. Morgan,1,bullish,positive,positive
Schlumberger started at buy with $42 stock price target at Deutsche Bank,1,bullish,positive,neutral
Selvaag Bolig ASA Just Beat Earnings Expectations: Here's What Analysts Think Will Happen Next,1,bullish,positive,neutral
